entity_type,industry,organization,seniority
Individual,Healthcare,OrgB,5
Individual,Finance,OrgB,4
Company,Tech,OrgD,4
Individual,Tech,OrgB,5
Non-Profit,Finance,OrgB,9
Government,Finance,OrgC,7
Non-Profit,Entertainment,OrgD,10
Government,Healthcare,OrgA,3
Non-Profit,Entertainment,OrgC,1
Company,Healthcare,OrgD,10
Company,Tech,OrgC,3
Government,Healthcare,OrgA,8
Company,Tech,OrgB,3
Government,Tech,OrgA,8
Company,Healthcare,OrgA,5
Individual,Tech,OrgB,2
Individual,Healthcare,OrgA,5
Non-Profit,Entertainment,OrgA,1
Company,Tech,OrgA,2
Company,Entertainment,OrgC,3
Individual,Finance,OrgA,9
Non-Profit,Healthcare,OrgD,9
Company,Finance,OrgD,9
Government,Entertainment,OrgB,7
Company,Healthcare,OrgB,3
Government,Finance,OrgB,3
Government,Tech,OrgA,1
Company,Entertainment,OrgA,5
Non-Profit,Finance,OrgD,6
Government,Finance,OrgB,4
Non-Profit,Entertainment,OrgD,6
Government,Tech,OrgB,8
Company,Tech,OrgA,1
Non-Profit,Entertainment,OrgA,6
Government,Entertainment,OrgD,8
Non-Profit,Healthcare,OrgA,4
Individual,Finance,OrgB,6
Government,Healthcare,OrgA,10
Company,Entertainment,OrgD,9
Non-Profit,Finance,OrgC,4
Company,Entertainment,OrgD,9
Company,Tech,OrgD,5
Individual,Finance,OrgA,6
Government,Tech,OrgC,9
Company,Entertainment,OrgA,10
Non-Profit,Healthcare,OrgB,8
Company,Entertainment,OrgB,5
Company,Healthcare,OrgB,9
Company,Finance,OrgA,5
Non-Profit,Finance,OrgA,9
Individual,Tech,OrgD,6
Company,Tech,OrgD,4
Non-Profit,Tech,OrgA,5
Non-Profit,Tech,OrgB,3
Company,Healthcare,OrgC,4
Individual,Finance,OrgA,7
Government,Healthcare,OrgC,2
Individual,Tech,OrgC,1
Government,Healthcare,OrgC,1
Government,Entertainment,OrgA,2
Company,Healthcare,OrgB,4
Government,Healthcare,OrgB,7
Government,Entertainment,OrgD,9
Government,Healthcare,OrgA,1
Company,Healthcare,OrgD,7
Non-Profit,Entertainment,OrgD,8
Government,Tech,OrgD,8
Individual,Healthcare,OrgB,10
Non-Profit,Healthcare,OrgB,2
Individual,Healthcare,OrgC,3
Individual,Healthcare,OrgD,6
Government,Tech,OrgA,3
Company,Tech,OrgB,5
Company,Entertainment,OrgB,2
Government,Finance,OrgD,9
Government,Tech,OrgB,2
Non-Profit,Healthcare,OrgA,3
Government,Tech,OrgD,5
Government,Entertainment,OrgC,8
Individual,Entertainment,OrgA,6
Government,Healthcare,OrgD,6
Company,Finance,OrgB,9
Non-Profit,Finance,OrgD,6
Individual,Healthcare,OrgA,3
Government,Entertainment,OrgC,1
Government,Healthcare,OrgB,3
Individual,Entertainment,OrgB,3
Individual,Finance,OrgA,5
Government,Healthcare,OrgA,10
Non-Profit,Finance,OrgD,4
Government,Healthcare,OrgB,8
Individual,Tech,OrgB,4
Individual,Finance,OrgC,7
Individual,Entertainment,OrgA,4
Company,Entertainment,OrgB,6
Company,Tech,OrgA,5
Non-Profit,Entertainment,OrgA,10
Non-Profit,Tech,OrgD,3
Government,Entertainment,OrgC,2
Government,Tech,OrgC,8
