entity_type,industry,organization,seniority
Company,Finance,OrgB,3
Government,Healthcare,OrgC,1
Non-Profit,Entertainment,OrgA,6
Government,Entertainment,OrgA,9
Government,Finance,OrgA,3
Individual,Entertainment,OrgD,5
Individual,Finance,OrgD,3
Individual,Healthcare,OrgC,1
Company,Entertainment,OrgB,5
Company,Finance,OrgD,9
Government,Finance,OrgA,6
Company,Tech,OrgA,6
Government,Entertainment,OrgA,1
Individual,Healthcare,OrgB,7
Individual,Tech,OrgD,6
Individual,Finance,OrgA,7
Individual,Finance,OrgC,8
Non-Profit,Finance,OrgB,1
Government,Healthcare,OrgC,6
Company,Healthcare,OrgA,2
Company,Entertainment,OrgA,10
Government,Tech,OrgC,9
Non-Profit,Healthcare,OrgA,6
Non-Profit,Healthcare,OrgD,2
Non-Profit,Entertainment,OrgA,7
Non-Profit,Tech,OrgA,9
Government,Tech,OrgC,5
Company,Tech,OrgD,9
Company,Entertainment,OrgC,2
Government,Healthcare,OrgC,9
Government,Finance,OrgC,2
Company,Finance,OrgD,7
Non-Profit,Healthcare,OrgC,1
Government,Healthcare,OrgA,8
Company,Tech,OrgA,3
Government,Tech,OrgB,1
Government,Healthcare,OrgD,8
Individual,Healthcare,OrgA,5
Individual,Tech,OrgB,9
Non-Profit,Entertainment,OrgD,7
Non-Profit,Finance,OrgA,5
Non-Profit,Healthcare,OrgA,10
Government,Tech,OrgA,10
Government,Tech,OrgA,3
Company,Tech,OrgA,8
Government,Finance,OrgC,3
Individual,Tech,OrgB,1
Company,Tech,OrgD,3
Individual,Entertainment,OrgB,10
Company,Entertainment,OrgC,3
Company,Entertainment,OrgA,3
Individual,Entertainment,OrgA,4
Non-Profit,Healthcare,OrgA,1
Individual,Healthcare,OrgC,8
Government,Finance,OrgB,2
Non-Profit,Healthcare,OrgA,8
Non-Profit,Tech,OrgA,9
Company,Healthcare,OrgA,3
Government,Finance,OrgD,3
Individual,Finance,OrgC,7
Company,Tech,OrgD,8
Non-Profit,Entertainment,OrgB,3
Non-Profit,Tech,OrgA,2
Government,Finance,OrgA,5
Company,Finance,OrgC,5
Individual,Finance,OrgB,9
Government,Tech,OrgD,6
Non-Profit,Tech,OrgD,2
Government,Entertainment,OrgA,8
Government,Entertainment,OrgA,1
Non-Profit,Healthcare,OrgC,1
Individual,Finance,OrgC,3
Individual,Healthcare,OrgB,10
Individual,Tech,OrgC,2
Company,Tech,OrgB,1
Government,Finance,OrgD,10
Government,Healthcare,OrgD,1
Individual,Healthcare,OrgD,5
Individual,Tech,OrgD,9
Government,Finance,OrgB,9
Non-Profit,Healthcare,OrgC,3
Company,Entertainment,OrgA,7
Government,Finance,OrgB,7
Company,Finance,OrgA,8
Non-Profit,Entertainment,OrgA,3
Government,Finance,OrgB,7
Individual,Finance,OrgD,1
Individual,Tech,OrgC,8
Individual,Tech,OrgD,8
Non-Profit,Finance,OrgB,1
Company,Healthcare,OrgA,2
Company,Tech,OrgD,3
Individual,Finance,OrgC,9
Government,Healthcare,OrgB,7
Non-Profit,Finance,OrgA,9
Individual,Finance,OrgA,4
Government,Healthcare,OrgC,10
Non-Profit,Healthcare,OrgD,2
Government,Tech,OrgA,9
Company,Entertainment,OrgB,7
