entity_type,industry,organization,seniority
Company,Finance,OrgA,10
Company,Entertainment,OrgC,3
Company,Healthcare,OrgD,6
Non-Profit,Healthcare,OrgD,6
Government,Healthcare,OrgC,4
Government,Finance,OrgB,8
Government,Finance,OrgB,9
Non-Profit,Healthcare,OrgC,2
Government,Healthcare,OrgC,6
Company,Entertainment,OrgD,5
Government,Healthcare,OrgA,9
Company,Tech,OrgC,3
Government,Healthcare,OrgA,7
Individual,Tech,OrgD,5
Individual,Healthcare,OrgD,10
Individual,Entertainment,OrgB,2
Company,Healthcare,OrgD,5
Individual,Finance,OrgA,1
Government,Finance,OrgD,9
Non-Profit,Entertainment,OrgC,7
Individual,Finance,OrgD,1
Company,Entertainment,OrgD,4
Company,Tech,OrgA,8
Company,Tech,OrgB,7
Company,Healthcare,OrgD,2
Government,Entertainment,OrgD,8
Company,Entertainment,OrgD,3
Individual,Entertainment,OrgB,5
Company,Tech,OrgC,2
Non-Profit,Tech,OrgC,6
Government,Entertainment,OrgC,9
Individual,Finance,OrgD,6
Company,Healthcare,OrgC,2
Government,Entertainment,OrgA,4
Non-Profit,Tech,OrgB,6
Government,Tech,OrgD,9
Non-Profit,Finance,OrgA,1
Non-Profit,Healthcare,OrgA,8
Government,Healthcare,OrgB,8
Non-Profit,Entertainment,OrgD,7
Government,Healthcare,OrgD,8
Individual,Entertainment,OrgA,1
Non-Profit,Finance,OrgC,9
Company,Entertainment,OrgA,1
Individual,Finance,OrgB,8
Company,Finance,OrgC,10
Non-Profit,Entertainment,OrgC,6
Non-Profit,Finance,OrgC,5
Company,Tech,OrgD,5
Company,Entertainment,OrgB,7
Government,Finance,OrgC,7
Company,Finance,OrgC,8
Non-Profit,Healthcare,OrgD,1
Individual,Healthcare,OrgB,9
Government,Finance,OrgA,6
Individual,Healthcare,OrgA,9
Company,Healthcare,OrgB,7
Government,Healthcare,OrgD,10
Non-Profit,Entertainment,OrgB,4
Individual,Healthcare,OrgB,1
Company,Entertainment,OrgB,3
Company,Finance,OrgC,5
Company,Healthcare,OrgB,9
Company,Tech,OrgB,6
Non-Profit,Finance,OrgD,8
Company,Healthcare,OrgC,2
Non-Profit,Finance,OrgA,10
Individual,Finance,OrgC,5
Non-Profit,Tech,OrgB,4
Company,Entertainment,OrgA,1
Company,Tech,OrgD,4
Individual,Entertainment,OrgA,7
Individual,Entertainment,OrgA,2
Individual,Finance,OrgB,4
Government,Healthcare,OrgB,3
Individual,Entertainment,OrgC,6
Non-Profit,Entertainment,OrgA,5
Non-Profit,Tech,OrgD,5
Individual,Tech,OrgC,7
Non-Profit,Entertainment,OrgC,7
Non-Profit,Tech,OrgA,2
Non-Profit,Healthcare,OrgB,1
Government,Tech,OrgA,6
Company,Healthcare,OrgC,1
Individual,Finance,OrgA,3
Government,Entertainment,OrgC,9
Individual,Healthcare,OrgC,8
Company,Tech,OrgA,9
Company,Entertainment,OrgC,3
Company,Entertainment,OrgA,4
Individual,Tech,OrgD,1
Company,Tech,OrgB,3
Company,Tech,OrgD,7
Non-Profit,Tech,OrgA,6
Individual,Tech,OrgA,10
Government,Finance,OrgD,7
Government,Entertainment,OrgA,4
Individual,Healthcare,OrgC,9
Individual,Finance,OrgC,9
Company,Entertainment,OrgC,4
